id,rxn_smiles,rxn_smiles_rxnmapper,num_react_atom_forward,num_react_atom_retro,num_change_ring,num_react_atom_forward_rxnmapper,num_react_atom_retro_rxnmapper,num_change_ring_rxnmapper
98097,C[Si](C)(C)[O:3][C:4]1([CH3:16])[CH2:5][C:6]2=[CH:7][CH2:8][CH2:9][C:10]([CH3:14])([CH3:15])[CH:11]2[CH2:12][CH2:13]1>CCO.Cl.O>[OH:3][C@:4]1([CH3:16])[CH2:5][C:6]2=[CH:7][CH2:8][CH2:9][C:10]([CH3:14])([CH3:15])[C@@H:11]2[CH2:12][CH2:13]1,C[Si](C)(C)[O:11][C:9]1([CH3:10])[CH2:8][C:7]2=[CH:6][CH2:5][CH2:4][C:2]([CH3:1])([CH3:3])[CH:14]2[CH2:13][CH2:12]1.CCO.Cl.O>>[CH3:1][C:2]1([CH3:3])[CH2:4][CH2:5][CH:6]=[C:7]2[CH2:8][C@@:9]([CH3:10])([OH:11])[CH2:12][CH2:13][C@@H:14]12,2,1,0,2,1,0
132873,CC(N)C1(c2cc[c:9](Cl)[c:4](Cl)c2)CCC1.[Cl:19][c:20]1[cH:21][c:22]([C:27]2([CH:31]([CH3:32])[NH2:33])[CH2:28][CH2:29][CH2:30]2)[cH:23][cH:24][c:25]1[Cl:26]>CC(=O)O.Cl.[BH4-].[Na+].[Na+].[OH-]>[CH2:4]([CH3:9])[NH:33][CH:31]([C:27]1([c:22]2[cH:21][c:20]([Cl:19])[c:25]([Cl:26])[cH:24][cH:23]2)[CH2:28][CH2:29][CH2:30]1)[CH3:32],CC(=O)O.N[CH:2](C1(c2ccc(Cl)c(Cl)c2)CCC1)[CH3:1].[NH2:3][CH:4]([CH3:5])[C:6]1([c:7]2[cH:8][cH:9][c:10]([Cl:11])[c:12]([Cl:13])[cH:14]2)[CH2:15][CH2:16][CH2:17]1.Cl.[BH4-].[Na+].[Na+].[OH-]>>[CH3:1][CH2:2][NH:3][CH:4]([CH3:5])[C:6]1([c:7]2[cH:8][cH:9][c:10]([Cl:11])[c:12]([Cl:13])[cH:14]2)[CH2:15][CH2:16][CH2:17]1,7,3,0,4,2,0
144853,I[CH3:14].O[CH:2]([CH2:3][CH2:4][c:5]1[cH:6][cH:7][c:8]([C:10](=[O:11])[OH:12])[s:9]1)[CH3:13].[N-:22]=[N+:23]=[N-:24]>CC(=O)N(C)C.CS(C)=O.O=C([O-])[O-].[Na+].[Na+].[Na+].c1ccncc1>[CH:2]([CH2:3][CH2:4][c:5]1[cH:6][cH:7][c:8]([C:10](=[O:11])[O:12][CH3:14])[s:9]1)([CH3:13])[N:22]=[N+:23]=[N-:24],CC(=O)N(C)C.O[CH:11]([CH2:10][CH2:9][c:8]1[cH:7][cH:6][c:5]([C:3]([OH:2])=[O:4])[s:16]1)[CH3:12].I[CH3:1].CS(C)=O.O=C([O-])[O-].[N-:13]=[N+:14]=[N-:15].[Na+].[Na+].[Na+].c1ccncc1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([CH2:9][CH2:10][CH:11]([CH3:12])[N:13]=[N+:14]=[N-:15])[s:16]1,6,4,0,6,4,0
146212,O=C([O-])C1=NN(c2cc[c:41]([S:44](=O)(=O)[O-])cc2)C(=O)C1N=Nc1ccc(S(=O)(=O)[O-])cc1.[NH2:1][c:2]1[cH:3][c:4]([S:20](=[O:21])(=[O:22])[OH:23])[cH:5][c:6]2[cH:7][c:8]([S:16](=[O:17])(=[O:18])[OH:19])[cH:9][c:10]([S:12](=[O:13])(=[O:14])[OH:15])[c:11]12>C.Cl.O.S=C(Cl)Cl.[Na+].[Na+].[Na+]>[N:1]([c:2]1[cH:3][c:4]([S:20](=[O:21])(=[O:22])[OH:23])[cH:5][c:6]2[cH:7][c:8]([S:16](=[O:17])(=[O:18])[OH:19])[cH:9][c:10]([S:12](=[O:13])(=[O:14])[OH:15])[c:11]12)=[C:41]=[S:44],C.Cl.[O:1]=[S:2](=[O:3])([OH:4])[c:5]1[cH:6][c:7]([NH2:8])[c:11]2[c:12]([S:13](=[O:14])(=[O:15])[OH:16])[cH:17][c:18]([S:19](=[O:20])(=[O:21])[OH:22])[cH:23][c:24]2[cH:25]1.O.O=C([O-])C1=NN(c2ccc(S(=O)(=O)[O-])cc2)C(=O)C1N=Nc1ccc(S(=O)(=O)[O-])cc1.Cl[C:9](Cl)=[S:10].[Na+].[Na+].[Na+]>>[O:1]=[S:2](=[O:3])([OH:4])[c:5]1[cH:6][c:7]([N:8]=[C:9]=[S:10])[c:11]2[c:12]([S:13](=[O:14])(=[O:15])[OH:16])[cH:17][c:18]([S:19](=[O:20])(=[O:21])[OH:22])[cH:23][c:24]2[cH:25]1,8,3,0,4,2,0
272999,O=[C:18]([C@@H:9]([NH:8][C:1](=[O:2])[O:3][C:4]([CH3:5])([CH3:6])[CH3:7])[CH2:10][c:11]1[cH:12][cH:13][c:14]([F:17])[cH:15][cH:16]1)[OH:20].[CH3:22][O:23][C:24]([C@H:25]([NH2:26])[C:27]([CH3:28])([CH3:29])[SH:30])=[O:31]>Cl>[C:1](=[O:2])([O:3][C:4]([CH3:5])([CH3:6])[CH3:7])[NH:8][C@@H:9]([CH2:10][c:11]1[cH:12][cH:13][c:14]([F:17])[cH:15][cH:16]1)[C:18](=[O:20])[NH:26][C@@H:25]([C:24]([O:23][CH3:22])=[O:31])[C:27]([CH3:28])([CH3:29])[SH:30],O[C:7](=[O:8])[C@H:9]([CH2:10][c:11]1[cH:12][cH:13][c:14]([F:15])[cH:16][cH:17]1)[NH:18][C:19](=[O:20])[O:21][C:22]([CH3:23])([CH3:24])[CH3:25].[CH3:1][O:2][C:3](=[O:4])[C@H:5]([NH2:6])[C:26]([CH3:27])([CH3:28])[SH:29].Cl>>[CH3:1][O:2][C:3](=[O:4])[C@H:5]([NH:6][C:7](=[O:8])[C@H:9]([CH2:10][c:11]1[cH:12][cH:13][c:14]([F:15])[cH:16][cH:17]1)[NH:18][C:19](=[O:20])[O:21][C:22]([CH3:23])([CH3:24])[CH3:25])[C:26]([CH3:27])([CH3:28])[SH:29],4,3,0,3,2,0
285697,[OH:1][CH:2]1[CH:3]=[C:4]2[CH2:5][CH2:6][C@H:7]3[C@@H:8]4[CH2:9][CH:10]=[CH:11][C@@:12]4([CH3:13])[CH2:14][CH2:15][C@@H:16]3[C@@:17]2([CH2:20][OH:21])[CH2:18][CH2:19]1>CCCCCC.[Mn+4].[O-2].[O-2]>[O:1]=[C:2]1[CH:3]=[C:4]2[CH2:5][CH2:6][C@H:7]3[C@@H:8]4[CH2:9][CH:10]=[CH:11][C@@:12]4([CH3:13])[CH2:14][CH2:15][C@@H:16]3[C@@:17]2([CH2:20][OH:21])[CH2:18][CH2:19]1,CCCCCC.[CH3:1][C@@:2]12[CH:3]=[CH:4][CH2:5][C@H:6]1[C@@H:7]1[CH2:8][CH2:9][C:10]3=[CH:11][CH:12]([OH:13])[CH2:14][CH2:15][C@:16]3([CH2:17][OH:18])[C@H:19]1[CH2:20][CH2:21]2.[Mn+4].[O-2].[O-2]>>[CH3:1][C@@:2]12[CH:3]=[CH:4][CH2:5][C@H:6]1[C@@H:7]1[CH2:8][CH2:9][C:10]3=[CH:11][C:12](=[O:13])[CH2:14][CH2:15][C@:16]3([CH2:17][OH:18])[C@H:19]1[CH2:20][CH2:21]2,2,2,0,2,2,0
534283,F[c:11]1[c:10]([F:15])[cH:9][c:8]2[c:7](=[O:16])[c:6]([C:17](=[O:18])[OH:19])[cH:5][n:4]([CH:1]3[CH2:2][CH2:3]3)[c:13]2[cH:12]1.[CH3:20][O:21][N:22]=[C:23]1[CH2:24][NH:25][CH2:26][C:27]12[CH2:28][N:29]([C:31](=[O:32])[O:33][C:34]([CH3:35])([CH3:36])[CH3:37])[CH2:30]2>CC#N>[CH:1]1([n:4]2[cH:5][c:6]([C:17](=[O:18])[OH:19])[c:7](=[O:16])[c:8]3[cH:9][c:10]([F:15])[c:11]([N:25]4[CH2:24][C:23](=[N:22][O:21][CH3:20])[C:27]5([CH2:26]4)[CH2:28][N:29]([C:31](=[O:32])[O:33][C:34]([CH3:35])([CH3:36])[CH3:37])[CH2:30]5)[cH:12][c:13]23)[CH2:2][CH2:3]1,CC#N.[CH3:1][O:2][N:3]=[C:4]1[CH2:5][NH:6][CH2:25][C:26]12[CH2:27][N:28]([C:29](=[O:30])[O:31][C:32]([CH3:33])([CH3:34])[CH3:35])[CH2:36]2.F[c:7]1[cH:8][c:9]2[c:10]([cH:11][c:12]1[F:13])[n:21]([CH:22]1[CH2:23][CH2:24]1)[cH:20][c:16]([C:17](=[O:18])[OH:19])[c:14]2=[O:15]>>[CH3:1][O:2][N:3]=[C:4]1[CH2:5][N:6]([c:7]2[cH:8][c:9]3[c:10]([cH:11][c:12]2[F:13])[c:14](=[O:15])[c:16]([C:17](=[O:18])[OH:19])[cH:20][n:21]3[CH:22]2[CH2:23][CH2:24]2)[CH2:25][C:26]12[CH2:27][N:28]([C:29](=[O:30])[O:31][C:32]([CH3:33])([CH3:34])[CH3:35])[CH2:36]2,3,2,0,7,6,0
546314,Br[c:2]1[cH:3][c:4]2[n:5]([c:6]([NH2:8])[cH:7]1)[n:9][c:10](-[c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1)[n:11]2.OB(O)[c:21]1[cH:20][cH:19][c:18]([CH3:27])[cH:23][cH:22]1>COCCOC.O.O=C([O-])[O-].[Na+].[Na+].[Na+].[OH-].[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1>[C:2]1([c:21]2[cH:20][cH:19][c:18]([CH3:27])[cH:23][cH:22]2)=[CH:3][C:4]2=[N:11][CH:10]([c:12]3[cH:13][cH:14][cH:15][cH:16][cH:17]3)[NH:9][N:5]2[C:6]([NH2:8])=[CH:7]1,COCCOC.OB(O)[c:5]1[cH:4][cH:3][c:2]([CH3:1])[cH:23][cH:22]1.Br[c:6]1[cH:7][c:8]2[n:9][c:10](-[c:11]3[cH:12][cH:13][cH:14][cH:15][cH:16]3)[n:17][n:18]2[c:19]([NH2:20])[cH:21]1.O.O=C([O-])[O-].[Na+].[Na+].[Na+].[OH-].[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([C:6]2=[CH:7][C:8]3=[N:9][CH:10]([c:11]4[cH:12][cH:13][cH:14][cH:15][cH:16]4)[NH:17][N:18]3[C:19]([NH2:20])=[CH:21]2)[cH:22][cH:23]1,12,10,0,12,10,0
855452,CCOP(=O)(OCC)[CH2:26][C:27](=[O:28])[O:29]CC.O=[CH:14][c:9]1[c:8](-[c:5]2[cH:4][cH:3][c:2]([F:1])[cH:7][cH:6]2)[n:12]([CH3:13])[n:11][cH:10]1>CN(C)C=O.O.[H-].[Na+]>[F:1][c:2]1[cH:3][cH:4][c:5](-[c:8]2[c:9](/[CH:14]=[CH:26]/[C:27](=[O:28])[OH:29])[cH:10][n:11][n:12]2[CH3:13])[cH:6][cH:7]1,CCOP(=O)(OCC)[CH2:7][C:8](=[O:9])[O:10]CC.CN(C)C=O.O=[CH:6][c:5]1[cH:4][n:3][n:2]([CH3:1])[c:11]1-[c:12]1[cH:13][cH:14][c:15]([F:16])[cH:17][cH:18]1.O.[H-].[Na+]>>[CH3:1][n:2]1[n:3][cH:4][c:5](/[CH:6]=[CH:7]/[C:8](=[O:9])[OH:10])[c:11]1-[c:12]1[cH:13][cH:14][c:15]([F:16])[cH:17][cH:18]1,6,3,0,6,3,0
891389,Br[CH:21]([C:22](=[O:23])[O:24][C:25]([CH3:26])([CH3:27])[CH3:28])[CH3:29].[F:1][C:2]([c:3]1[c:4]([C:5]#[N:6])[cH:7][cH:8][c:9]([NH:11][CH2:12][CH2:13][C:14]([F:15])([F:16])[F:17])[cH:10]1)([F:18])[F:19]>>[F:1][C:2]([c:3]1[c:4]([C:5]#[N:6])[cH:7][cH:8][c:9]([N:11]([CH2:12][CH2:13][C:14]([F:15])([F:16])[F:17])[C@H:21]([C:22](=[O:23])[O:24][C:25]([CH3:26])([CH3:27])[CH3:28])[CH3:29])[cH:10]1)([F:18])[F:19],Br[CH:2]([CH3:1])[C:3](=[O:4])[O:5][C:6]([CH3:7])([CH3:8])[CH3:9].[NH:10]([CH2:11][CH2:12][C:13]([F:14])([F:15])[F:16])[c:17]1[cH:18][cH:19][c:20]([C:21]#[N:22])[c:23]([C:24]([F:25])([F:26])[F:27])[cH:28]1>>[CH3:1][C@@H:2]([C:3](=[O:4])[O:5][C:6]([CH3:7])([CH3:8])[CH3:9])[N:10]([CH2:11][CH2:12][C:13]([F:14])([F:15])[F:16])[c:17]1[cH:18][cH:19][c:20]([C:21]#[N:22])[c:23]([C:24]([F:25])([F:26])[F:27])[cH:28]1,3,2,0,3,2,0
